itemLabel,altLabel_list
propylthiouracil,"2-Mercapto-6-propyl-4-pyrimidone|2-Mercapto-6-propylpyrimid-4-one|2-Thio-4-oxo-6-propyl-1,3-pyrimidine|2-Thio-6-propyl-1,3-pyrimidin-4-one|2,3-dihydro-6-propyl-2-thioxo-4(1H)-pyrimidinone|2,3-dihydro-6-Propyl-2-thioxo-4(1H)-pyrimidinone|4-propyl-2-thiouracil|4-Propyl-2-thiouracil|6-Propyl-2-thio-2,4(1H,3H)pyrimidinedione|6-propyl-2-thiouracil|6-propyl-2-thioxo-2,3-dihydropyrimidin-4(1H)-one|6-Propyl-2-thioxo-2,3-dihydropyrimidin-4(1H)-one|6-Propylthiouracil|6-Thio-4-propyluracil|Propiltiouracilo|Propylthiouracil|Propylthiouracile|Propylthiouracilum|Thyreostat®"
gemfibrozil,"2,2-Dimethyl-5-(2,5-dimethylphenoxy)valeriansaeure|2,2-Dimethyl-5-(2,5-xylyloxy)valeriansaeure|2,2-Dimethyl-5-(2,5-xylyloxy)valeric acid|CI-719|Gemfibrozil|Gemfibrozilo|Gemfibrozilum|Gen-Fibro®|Jezil®"
isoflurophate,"DFP|Diisopropoxyphosphoryl Fluoride|Diisopropyl fluorophosphate|Diisopropyl Fluorophosphonate|Diisopropyl Phosphofluoridate|Diisopropyl Phosphorofluoridate|Diisopropylfluorophosphate|Diisopropylfluorophosphoric acid ester|Diisopropylphosphofluoridate|Diisopropylphosphorofluoridate|Floropryl|Fluorodiisopropyl Phosphate|Fluorostigmine|Isofluorphate|Isoflurophate|Isoflurophosphate|Isopropyl fluophosphate|Isopropyl Phosphorofluoridate|Neoglaucit|O,O'-diisopropyl phosphoryl fluoride"
6-thioguanine,"TG|2-Amino 6MP|2-Amino-1,7-dihydro-6H-purine-6-thione|2-amino-1,9-dihydropurine-6-thione|2-Amino-6-mercaptopurine|2-Amino-6-merkaptopurin|2-Amino-6-purinethiol|2-Aminopurin-6-thiol|2-Aminopurine-6-thiol|2-Aminopurine-6(1H)-thione|6-Mercapto-2-aminopurine|6-mercaptoguanine|6-Mercaptoguanine|6-TG|6-Thioguanine|Lanvis®|Tabloid®|ThG|Thioguanine|thioguanine anhydrous|Thioguanine anhydrous|Thioguanine, anhydrous|Tioguanin|Tioguanina|Tioguanine|Tioguaninum"
melatonin,{N-[2-(5-methoxy-1H-indol-3-yl)ethyl]-} Acetamide|{N-[2-(5-methoxyindol-3-yl)ethyl]-} Acetamide|5-methoxy-N-acetyltryptamine|Melatol|Melatonin (synth.) standard-grade|Melatonin (synth.) ultra-pure|Melovine|N-(2-(5-Methoxy-1H-indol-3-yl)ethyl)acetamide|N-(2-(5-Methoxyindol-3-yl)ethyl)-Acetamide|N-(2-(5-Methoxyindol-3-yl)ethyl)acetamide|N-[2-(5-Methoxy-1H-indol-3-yl)ethyl)acetamide|N-[2-(5-Methoxy-1H-indol-3-yl)ethyl]-Acetamide|N-[2-(5-Methoxy-1H-indol-3-yl)ethyl]acetamide|N-[2-(5-Methoxyindol-3-yl)ethyl]-Acetamide|N-[2-(5-methoxyindol-3-yl)ethyl]acetamide|N-Acetyl-5-methoxy-tryptamine|N-Acetyl-5-methoxy-tryptamine Melatonine|Regulin|MLT|MT6
cytarabine,1-beta-D-Arabinofuranosylcytosine|4-Amino-1-beta-D-arabinofuranosyl-2(1H)-pyrimidinone|Citarabina|Cytarabine|Cytarabinum|Cytosar®|cytosine arabinoside|Cytosine arabinoside|Cytosine-1-beta-D-arabinofuranoside|cytosine-beta-D-arabinofuranoside|cytosine-β-D-arabinofuranoside|DepoCyte®|U-19920
L-Tryptophan,W|Tryptophan|Trp|(-)-Tryptophan|(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid|(2S)-2-amino-3-(1H-indol-3-yl)Propanoic acid|(S)-alpha-amino-1H-indole-3-propanoic acid|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid|(S)-Tryptophan|(S)-α-amino-1H-indole-3-propanoic acid|L-(-)-Tryptophan|L-(−)-tryptophan|L-beta-3-Indolylalanine|L-Trp|L-β-3-indolylalanine|(S)-2-Amino-3-(1H-indol-3-yl)propanoic acid|Indole-3-alanine|L(-)-Tryptophan|L-alpha-Amino-3-indolepropionic acid
isosorbide dinitrate,"ISDN|Dilatrate|1,4|1,4:3,6-Dianhydrosorbitol 2,5-dinitrate|3,6-Dianhydrosorbitol 2,5-dinitrate|Carvasin|Cedocard retard|D-Isosorbide dinitrate|Dianhydrosorbitol 2,5-dinitrate|Dilatrate-Sr|Dinitrate d'isosorbide|Dinitrato de isosorbida|Dinitroisosorbide|Dinitrosorbide|Flindix|ISDN , Isosorbide dinitrate|Isoket|Isorbid|Isordil|Isosorbide 2,5-dinitrate|Isosorbide dinitrate|Isosorbide Dinitrate|Isosorbidi dinitras|Nitrosorbide|Sorbide nitrate|Sorbidilat|Sorbidnitrate|Sorbitrate"
acetylcholine,"[2-(acetyloxy)ethyl]trimethylazanium|2-acetoxyethyl(trimethyl)ammonium|2-acetyloxyethyl(trimethyl)ammonium|2-acetyloxyethyl(trimethyl)azanium|Acetyl choline ion|Acetylcholine|Acetylcholine cation|Acetylcholine Chloride|Acetylcholine, ACh|Acetylcholinium: acetyl-Choline|ACh|Azetylcholin|choline acetate|Choline acetate (ester)|E1001|O-acetylcholine"
frovatriptan,Frova®|Frovatriptan|SB-209509-AX|VML-251
L-ornithine,"(S)-2,5-Diaminopentanoate|(+)-S-Ornithine|(2S)-2,5-diaminopentanoic acid|(S)-2,5-Diaminopentanoic acid|(S)-2,5-diaminovaleric acid|(S)-a,D-Diaminovalerate|(S)-a,D-Diaminovaleric acid|(S)-alpha,delta-diaminovaleric acid|(S)-ornithine|(S)-α,δ-diaminovaleric acid|5-Amino-L-Norvaline|L-(-)-Ornithine"
ethinamate,1-ethynylcyclohexanol carbamate|1-Ethynylcyclohexanol carbamate|Aethinyl-cyclohexyl-carbamat|Ethinamate|Ethinamatum|Etinamato|Valmid|Valmid®
clopidogrel,Clopidogrel|(+)-Clopidogrel|clopidogrelum|Plavix&reg|SR-25990C
sodium picosulfate,DA-1773|LA-391|sodium picosulfate anhydrous|sodium picosulphate
eslicarbazepine acetate,"ESL|Eslicarbazepine acetate|(10S)-10-acetoxy-10,11-dihydro-5H-dibenz[b,f]azepine-5-carboxamide|(10S)-5-carbamoyl-10,11-dihydro-5H-dibenzo[b,f]azepin-10-yl acetate|BIA-2-093|Erelib|Pazzul|SEP-0002093|Stedesa"
sorbitol,"Resulax|Sionit|Sionit K|Sionite|Sionon|Siosan|Sorbex M|Sorbex R|Sorbex Rp|Sorbex S|Sorbex X|Sorbilande|Sorbilax|Sorbit D 70|Sorbit D-Powder|Sorbit DP|Sorbit DP 50|Sorbit Kyowa Powder 50M|Sorbit L 70|Sorbit S|Sorbit T 70|Sorbit W 70|Sorbit W-Powder|Sorbit W-Powder 50|Sorbit WP|Sorbite|Sorbitol|Sorbitol F|Sorbitol FK|Sorbitol FP|Sorbitol S|Sorbitol syrup C|Sorbitur|Sorbogem 712|Sorbol|Sorbostyl|E420|Sorbit|Sorbo|D-Sorbitol|(-)-sorbitol|(−)-sorbitol|(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol|D-(-)-sorbitol|D-(−)-sorbitol|D-glucitol|D-Sorbit|D-Sorbol|Diakarmon|E 420|E-420|Esasorb|Foodol D 70|G-ol|Glc-ol|Glucarine|glucitol|Karion|Karion instant|Kyowa Powder 50M|L-Gulitol|Multitol|Neosorb|Neosorb 20/60DC|Neosorb 70/02|Neosorb 70/70|Neosorb P 20/60|Neosorb P 60|Neosorb P 60W|Nivitin"
natamycin,PMR|Natacyn|Antibiotic A-5283|CL-12625|E235|Myprozine|Natamicina|Natamycin|Natamycine|Natamycinum|Pimaracin|Pimaricin
